Sample (Time) - CH1	Volts - CH1	Volts - CH2	Volts - CH3	Volts - CH4	Volts - CH5	Volts - CH6	Volts - CH7	Volts - CH8
0	0.000380468	0.000348139	0.00093379	9.06E-07	0.000476456	0.000554752	0.000169659	0.00013814
1	0.00035367	0.000337839	0.000921392	-2.94E-05	0.000444841	0.00052433	0.00014286	0.000121069
2	0.000360155	0.00034833	0.000931406	-2.03E-05	0.000446272	0.000528288	0.00014987	0.000125408
3	0.000385189	0.000350046	0.000932407	5.20E-06	0.00045867	0.000544119	0.000170279	0.000143719
4	0.000367308	0.000334787	0.000914335	-1.55E-05	0.000427628	0.000517178	0.000153112	0.000132132
5	0.000344419	0.000317478	0.000893497	-4.21E-05	0.000392199	0.00048666	0.000128412	0.00011797
6	0.000310612	0.000298643	0.00087142	-8.52E-05	0.000342798	0.000439596	8.92E-05	9.34E-05
7	0.000311708	0.000298452	0.000871706	-8.82E-05	0.000326586	0.00042758	8.43E-05	9.24E-05
8	0.000330067	0.000295687	0.000865889	-7.19E-05	0.000323486	0.000431681	9.79E-05	0.000107384
9	0.000309277	0.000276613	0.00084157	-9.78E-05	0.000280142	0.000393581	7.24E-05	9.31E-05
10	0.000282335	0.000254774	0.000814867	-0.000133085	0.000229883	0.00034976	4.25E-05	7.62E-05
11	0.000243902	0.000231314	0.000787354	-0.000180817	0.000169754	0.000293779	-1.62E-06	4.88E-05
12	0.000240135	0.000225782	0.000780869	-0.000187683	0.000143194	0.0002738	-1.07E-05	4.56E-05
13	0.000256681	0.000223255	0.000775337	-0.000174141	0.000133562	0.00027442	-9.54E-08	5.87E-05
14	0.000233316	0.00020256	0.000747871	-0.000203943	8.54E-05	0.000233698	-2.56E-05	4.44E-05
15	0.000204754	0.000177574	0.000717211	-0.000242424	3.54E-05	0.000185823	-5.77E-05	2.68E-05
16	0.000166178	0.000155401	0.000690794	-0.000290966	-2.48E-05	0.00013175	-0.000102043	-2.62E-06
17	0.000163937	0.000151539	0.000686741	-0.000295115	-4.93E-05	0.000115347	-0.000112152	-5.20E-06
18	0.000182533	0.000148106	0.000682735	-0.000277424	-5.45E-05	0.000118494	-9.89E-05	9.87E-06
19	0.000167656	0.000132465	0.000665283	-0.000299168	-8.34E-05	9.21E-05	-0.000116158	6.68E-07
20	0.000154686	0.000123978	0.000654697	-0.000315428	-9.73E-05	7.67E-05	-0.000128651	-6.01E-06
21	0.000130796	0.000116777	0.000646734	-0.000341749	-0.000120878	5.27E-05	-0.00015254	-2.52E-05
22	0.000141573	0.000127125	0.000661325	-0.000328016	-0.00010767	6.59E-05	-0.000141287	-1.98E-05
23	0.000174475	0.000137806	0.000672245	-0.000293112	-7.73E-05	9.69E-05	-0.000110006	4.48E-06
24	0.000167704	0.000132513	0.000664282	-0.000300074	-8.56E-05	8.93E-05	-0.000116587	1.91E-07
25	0.000156116	0.000125599	0.000656271	-0.000315332	-9.86E-05	7.63E-05	-0.000128126	-6.39E-06
26	0.000130796	0.000116539	0.000646973	-0.000341129	-0.000120115	5.15E-05	-0.000152349	-2.49E-05
27	0.000141096	0.000127125	0.000661039	-0.000327587	-0.00010891	6.34E-05	-0.000142193	-1.88E-05
28	0.000175142	0.000139475	0.00067296	-0.000292683	-7.82E-05	9.65E-05	-0.000110722	5.53E-06
29	0.00016799	0.000133038	0.000665712	-0.00030036	-8.48E-05	8.91E-05	-0.000116777	5.25E-07
30	0.000155115	0.000125599	0.000656843	-0.000314808	-9.63E-05	7.72E-05	-0.000127935	-5.63E-06
31	0.000130367	0.000116539	0.000646877	-0.000340414	-0.000119638	5.26E-05	-0.000152636	-2.44E-05
32	0.000141287	0.000126028	0.000660181	-0.000327778	-0.000107288	6.50E-05	-0.000142193	-1.95E-05
33	0.000174093	0.000137568	0.000672388	-0.000292444	-7.72E-05	9.69E-05	-0.000109863	5.25E-06
34	0.000167465	0.000132418	0.000665283	-0.00030036	-8.58E-05	8.91E-05	-0.000116396	-4.77E-08
35	0.000155163	0.00012579	0.000658607	-0.00031538	-9.76E-05	7.60E-05	-0.000127745	-7.63E-06
36	0.000131989	0.000115967	0.000647974	-0.000341225	-0.000119543	5.30E-05	-0.000151157	-2.52E-05
37	0.000141048	0.000126219	0.000660324	-0.000328398	-0.000109529	6.43E-05	-0.000142384	-1.95E-05
38	0.000174093	0.000137758	0.000672531	-0.000292587	-7.82E-05	9.68E-05	-0.000110674	4.91E-06
39	0.000168228	0.000132751	0.000665331	-0.000300312	-8.61E-05	8.90E-05	-0.000116444	-9.54E-08
40	0.00015583	0.000125599	0.0006567	-0.000314474	-9.74E-05	7.75E-05	-0.000127745	-6.48E-06
41	0.000131273	0.000116158	0.000646305	-0.000340414	-0.000119829	5.28E-05	-0.000151443	-2.39E-05
42	0.000141525	0.000126171	0.00065918	-0.000328398	-0.000109482	6.40E-05	-0.000142384	-1.94E-05
43	0.000173998	0.000138569	0.000672054	-0.000292587	-7.82E-05	9.67E-05	-0.000110149	6.63E-06
44	0.000167847	0.000132847	0.000665569	-0.000299358	-8.58E-05	8.96E-05	-0.000116301	2.53E-06
45	0.000155115	0.000125122	0.000657225	-0.00031395	-9.68E-05	7.74E-05	-0.000127888	-6.01E-06
46	0.000131655	0.00011611	0.0006464	-0.00034194	-0.000119543	5.31E-05	-0.000151682	-2.29E-05
47	0.000140095	0.000126791	0.000659657	-0.00033083	-0.000110102	6.38E-05	-0.000143194	-2.01E-05
48	0.000173521	0.000138712	0.000673246	-0.000293255	-7.85E-05	9.70E-05	-0.00011096	4.91E-06
49	0.000168562	0.000133133	0.000665808	-0.00030036	-8.47E-05	9.06E-05	-0.000116062	1.91E-06
50	0.000156546	0.000125837	0.000657129	-0.000314045	-9.72E-05	7.93E-05	-0.000127077	-6.63E-06
51	0.000133419	0.000116634	0.000647593	-0.000340462	-0.000119066	5.57E-05	-0.000150156	-2.35E-05
52	0.000140476	0.000126505	0.000658894	-0.00033102	-0.000109959	6.26E-05	-0.000143051	-2.04E-05
53	0.000173855	0.000139523	0.000672626	-0.000293684	-7.82E-05	9.60E-05	-0.000110817	4.58E-06
54	0.000169086	0.00013423	0.000666332	-0.000298929	-8.52E-05	9.08E-05	-0.000116205	2.24E-06
55	0.000156164	0.000126648	0.000657415	-0.000314188	-9.63E-05	7.86E-05	-0.000126553	-5.05E-06
56	0.000133801	0.000116301	0.000647354	-0.000340414	-0.000119877	5.48E-05	-0.000149775	-2.24E-05
57	0.000140476	0.000126505	0.00065856	-0.00033102	-0.000110531	6.29E-05	-0.000144053	-2.02E-05
58	0.000172901	0.000138378	0.000671673	-0.000294256	-7.93E-05	9.65E-05	-0.000111532	4.24E-06
59	0.000168943	0.00013237	0.000666332	-0.000299644	-8.48E-05	9.12E-05	-0.000116253	1.72E-06
60	0.000156593	0.000125504	0.000657463	-0.000313902	-9.59E-05	7.83E-05	-0.000127983	-5.29E-06
61	0.000132751	0.000116539	0.000647879	-0.00034008	-0.000118351	5.42E-05	-0.000151062	-2.19E-05
62	0.000140047	0.000126076	0.000658941	-0.000329971	-0.000109768	6.30E-05	-0.000143671	-1.94E-05
63	0.000173044	0.000137377	0.000672722	-0.000294113	-7.93E-05	9.61E-05	-0.000111532	4.72E-06
64	0.000168943	0.000132608	0.000665855	-0.000300694	-8.57E-05	9.05E-05	-0.000116777	-2.38E-07
65	0.000157547	0.000125074	0.000656366	-0.000314283	-9.76E-05	7.79E-05	-0.000127506	-6.96E-06
66	0.000134516	0.000116491	0.000646782	-0.000339603	-0.0001194	5.52E-05	-0.000150299	-2.35E-05
67	0.00013957	0.000126076	0.000657701	-0.0003304	-0.000111675	6.26E-05	-0.000143957	-2.17E-05
68	0.000173235	0.000139046	0.000672007	-0.000293112	-7.75E-05	9.60E-05	-0.000111055	4.48E-06
69	0.000168228	0.000133657	0.000666237	-0.000299072	-8.35E-05	9.10E-05	-0.000115871	2.29E-06
70	0.000154972	0.000126314	0.000656414	-0.000313282	-9.72E-05	7.79E-05	-0.000128984	-6.77E-06
71	0.000131655	0.000117826	0.000645685	-0.000339174	-0.0001194	5.46E-05	-0.000150967	-2.37E-05
72	0.000137186	0.000126171	0.000658083	-0.000331259	-0.000111437	6.17E-05	-0.000144815	-2.17E-05
73	0.000173235	0.000138617	0.00067215	-0.000293636	-7.93E-05	9.52E-05	-0.000111437	5.05E-06
74	0.000168991	0.00013361	0.000666285	-0.000297832	-8.46E-05	9.10E-05	-0.000113869	2.34E-06
75	0.000156355	0.000126076	0.000657368	-0.000313568	-9.71E-05	7.82E-05	-0.00012641	-6.15E-06
76	0.000133419	0.000116968	0.000646877	-0.000338125	-0.00011878	5.50E-05	-0.000150013	-2.25E-05
77	0.000138712	0.000126123	0.000657892	-0.000330591	-0.000112152	6.12E-05	-0.000145292	-1.96E-05
78	0.000175524	0.000143862	0.000676298	-0.000289202	-7.48E-05	9.95E-05	-0.000107813	8.25E-06
79	0.000185442	0.000152683	0.000687075	-0.000280666	-6.32E-05	0.000111675	-9.48E-05	1.47E-05
80	0.000188875	0.000157785	0.000697613	-0.000279236	-5.74E-05	0.000117207	-8.76E-05	1.71E-05
81	0.000180912	0.000160551	0.000707817	-0.000288153	-6.02E-05	0.000112104	-9.13E-05	1.16E-05
82	0.000199842	0.000183153	0.00073905	-0.000265312	-3.26E-05	0.000139856	-6.56E-05	2.40E-05
83	0.000247335	0.000209379	0.000771809	-0.000213528	1.71E-05	0.000191832	-1.53E-05	5.95E-05
84	0.000257778	0.000215101	0.000782347	-0.000201321	2.74E-05	0.000202227	-3.05E-06	6.78E-05
85	0.000254297	0.00021615	0.000786686	-0.000205135	2.72E-05	0.000200462	-2.91E-06	6.68E-05
